Round,Duration (s)
1,3.4184279441833496
2,3.3230361938476562
3,3.3528008460998535
4,3.353865385055542
5,3.3691813945770264
6,3.366630792617798
7,3.2977848052978516
8,3.3868112564086914
9,3.292813777923584
10,3.337752103805542
11,3.4110891819000244
12,3.254532814025879
13,3.2746450901031494
14,3.274833917617798
15,3.327244997024536
16,3.3214008808135986
17,3.3058650493621826
18,3.2660601139068604
19,3.2652299404144287
20,3.2719409465789795
21,3.304431200027466
22,3.263118028640747
23,3.302428960800171
24,3.3148481845855713
25,3.3136446475982666
26,3.3235552310943604
27,3.2684168815612793
28,3.3230819702148438
29,3.3288791179656982
30,3.2810020446777344
